Time	Vr	Ir
0.048040000000004038	127.06570590115815	13.129593384064719
0.048050000000004041	126.50086727072365	13.099005073513581
0.048060000000004044	125.93478012929394	13.068219544720705
0.048070000000004047	125.36745006390309	13.037237920343614
0.04808000000000405	124.79888267385222	13.006061294618121
0.048090000000004053	124.22908357065479	12.974690761780039
0.048100000000004056	123.65805837798011	12.943127416065181
0.048110000000004059	123.08581273159956	12.91137235170936
0.048120000000004062	122.51235227932995	12.879426634526681
0.048130000000004065	121.9376826809781	12.847291358752955
0.048140000000004068	121.36180960828395	12.814967547569722
0.048150000000004071	120.78473874486627	12.782456266791087
0.048160000000004075	120.20647578616564	12.749758610652862
0.048170000000004078	119.62702643938842	12.716875559704022
0.048180000000004081	119.04639642344948	12.683808165547816
0.048190000000004084	118.46459146891758	12.65055746557664
0.048200000000004087	117.88161731795743	12.617124468761176
0.04821000000000409	117.29747972427354	12.58351021249382
0.048220000000004093	116.71218445305351	12.549715663112693
0.048230000000004096	116.12573728091009	12.515741900642752
0.048240000000004099	115.53814399582579	12.481589848789554
0.048250000000004102	114.94941039709478	12.447260516523784
0.048260000000004105	114.35954229526622	12.412754912816126
0.048270000000004108	113.76854551208535	12.378073975582993
0.048280000000004111	113.17642588043833	12.343218713795068
0.048290000000004114	112.58318924429317	12.308190065368763
0.048300000000004117	111.9888414586428	12.272989010853053
0.04831000000000412	111.39338838944587	12.237616488164349
0.048320000000004124	110.7968359135709	12.202073477851627
0.048330000000004127	110.19918991873696	12.166360860987879
0.04834000000000413	109.60045630345584	12.130479660754645
0.048350000000004133	109.0006409769742	12.094430729803207
0.048360000000004136	108.39974985921386	12.058215062893396
0.048370000000004139	107.79778888071549	12.021833526887349
0.048380000000004142	107.19476398257865	11.985287088123187
0.048390000000004145	106.59068111640377	11.948576627673901
0.048400000000004148	105.98554624423228	11.911703055034195
0.048410000000004151	105.37936533848946	11.874667293909624
0.048420000000004154	104.77214438192445	11.837470211162326
0.048430000000004157	104.16388936755173	11.800112744708713
0.04844000000000416	103.55460629859058	11.762595747200066
0.048450000000004163	102.94430118840796	11.724920099709379
0.048460000000004166	102.33298006045773	11.687086697520499
0.048470000000004169	101.72064894822162	11.649096407495563
0.048480000000004173	101.10731389514997	11.610950110707563
0.048490000000004176	100.49298095460065	11.572648674018637
0.048500000000004179	99.877656189781447	11.534192950080069
0.048510000000004182	99.261345673688879	11.49558379154314
0.048520000000004185	98.644055489048924	11.456822051059135
0.048530000000004188	98.02579172825547	11.417908595490189
0.048540000000004191	97.40656049331244	11.378844234855023
0.048550000000004194	96.786367895772159	11.339629878648338
0.048560000000004197	96.165220056675608	11.300266294256289
0.0485700000000042	95.543123106490697	11.260754320119304
0.048580000000004203	94.920083185053812	11.221094851521229
0.048590000000004206	94.296106441507987	11.181288627426511
